Building name,Street address,Suburb,Postcode,Accessibility type,Accessibility type description,Accessibility rating,Building Height (highest floor),Construction year,Refurbished year,Latitude,Longitude,Location
 ,217 Elizabeth Street,MELBOURNE,3000,Ramp,Main Entrance has ramp,3,2,1945,2000,-37.81341,144.962487,"217 Elizabeth Street
(-37.81341, 144.962487)"
O'Donohue's Building,377-379 Little Bourke Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1945,1998,-37.813794,144.961598,"377-379 Little Bourke Street
(-37.813794, 144.961598)"
 ,369-371 Little Bourke Street,MELBOURNE,3000,Small lip or steep ramp,Entrance(s) have limited access via a small lip or a steep ramp,2,1,1945,0,-37.813671,144.961781,"369-371 Little Bourke Street
(-37.813671, 144.961781)"
 ,325-327 Elizabeth Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,1,1920,2003,-37.811072,144.961393,"325-327 Elizabeth Street
(-37.811072, 144.961393)"
 ,351-357 Elizabeth Street,MELBOURNE,3000,Steps,All entrances have steps,1,4,1928,0,-37.810587,144.961168,"351-357 Elizabeth Street
(-37.810587, 144.961168)"
 ,303-305 Elizabeth Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,1,1930,0,-37.811551,144.961598,"303-305 Elizabeth Street
(-37.811551, 144.961598)"
 ,307-311 Elizabeth Street,MELBOURNE,3000,Small lip or steep ramp,Entrance(s) have limited access via a small lip or a steep ramp,2,1,1945,2012,-37.811468,144.961561,"307-311 Elizabeth Street
(-37.811468, 144.961561)"
 ,359 Little Lonsdale Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,1,1910,0,-37.811669,144.96142,"359 Little Lonsdale Street
(-37.811669, 144.96142)"
Arts Centre Melbourne,100 St Kilda Road,SOUTHBANK,3006,Step free,Main Entrance is at grade and has no steps or ramp,3,5,1984,0,-37.820941,144.968226,"100 St Kilda Road
(-37.820941, 144.968226)"
 ,21-51 Sardine Street,FISHERMANS BEND,3207,Too complex to determine,Configuration of entrance does not fit into any of the other categories,0,1,0,0,-37.830749,144.902542,"21-51 Sardine Street
(-37.830749, 144.902542)"
 ,45 Berry Street,EAST MELBOURNE,3002,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.818123,144.988439,"45 Berry Street
(-37.818123, 144.988439)"
 ,134 Elizabeth Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,1,1945,1994,-37.814917,144.963777,"134 Elizabeth Street
(-37.814917, 144.963777)"
London Stores,341-357 Bourke Street,MELBOURNE,3000,Alternative access,Main entrance has steps; Alternative entrance is step free or has ramp,2,9,1925,2006,-37.814432,144.963662,"341-357 Bourke Street
(-37.814432, 144.963662)"
Leviathan Stores Building,271-281 Bourke Street,MELBOURNE,3000,Alternative access,Main entrance has steps; Alternative entrance is step free or has ramp,2,4,1912,2008,-37.81386,144.965407,"271-281 Bourke Street
(-37.81386, 144.965407)"
Swanston Apartments,135-137 Swanston Street,MELBOURNE,3000,Steps,All entrances have steps,1,9,0,1999,-37.814494,144.965774,"135-137 Swanston Street
(-37.814494, 144.965774)"
Swanston House,163-165 Swanston Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,6,1922,0,-37.813947,144.965526,"163-165 Swanston Street
(-37.813947, 144.965526)"
Mering House,276-278 Collins Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,10,1958,2008,-37.815638,144.964763,"276-278 Collins Street
(-37.815638, 144.964763)"
 ,84-86 Elizabeth Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,2,1911,1985,-37.815913,144.964193,"84-86 Elizabeth Street
(-37.815913, 144.964193)"
 ,395-397 Little Lonsdale Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1910,0,-37.8119,144.960249,"395-397 Little Lonsdale Street
(-37.8119, 144.960249)"
Forecourt Building,116-122 Hardware Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,4,1989,1997,-37.811947,144.960703,"116-122 Hardware Street
(-37.811947, 144.960703)"
 ,364-370 Little Lonsdale Street,MELBOURNE,3000,Steps,All entrances have steps,1,0,1945,1979,-37.811984,144.958549,"364-370 Little Lonsdale Street
(-37.811984, 144.958549)"
 ,560-566 Lonsdale Street,MELBOURNE,3000,Steps,All entrances have steps,1,1,1985,1994,-37.813696,144.955597,"560-566 Lonsdale Street
(-37.813696, 144.955597)"
 ,568-570 Lonsdale Street,MELBOURNE,3000,Steps,All entrances have steps,1,1,1923,1997,-37.813871,144.955405,"568-570 Lonsdale Street
(-37.813871, 144.955405)"
 ,551-555 Little Lonsdale Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,2,2010,0,-37.813295,144.955565,"551-555 Little Lonsdale Street
(-37.813295, 144.955565)"
 ,523-525 Little Lonsdale Street,MELBOURNE,3000,Steps,All entrances have steps,1,0,1855,1988,-37.813112,144.956397,"523-525 Little Lonsdale Street
(-37.813112, 144.956397)"
 ,275 King Street,MELBOURNE,3000,Steps,All entrances have steps,1,1,1873,1989,-37.81381,144.954262,"275 King Street
(-37.81381, 144.954262)"
Katherine Place,517-537 Flinders Lane,MELBOURNE,3000,Ramp,Main Entrance has ramp,3,4,1990,0,-37.819884,144.956601,"517-537 Flinders Lane
(-37.819884, 144.956601)"
QBE House,624-634 Bourke Street,MELBOURNE,3000,Ramp,Main Entrance has ramp,3,15,1989,0,-37.816018,144.954814,"624-634 Bourke Street
(-37.816018, 144.954814)"
 ,324-328 Little Lonsdale Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1970,0,-37.811674,144.95994,"324-328 Little Lonsdale Street
(-37.811674, 144.95994)"
Merlin Apartments,296-300 Little Lonsdale Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1945,1997,-37.811478,144.960635,"296-300 Little Lonsdale Street
(-37.811478, 144.960635)"
 ,15-21 Sutherland Street,MELBOURNE,3000,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1910,0,-37.811204,144.960736,"15-21 Sutherland Street
(-37.811204, 144.960736)"
Regency House,33-35 Guildford Lane,MELBOURNE,3000,Steps,All entrances have steps,1,2,1945,0,-37.811461,144.959861,"33-35 Guildford Lane
(-37.811461, 144.959861)"
 ,1-25 Dynon Road,WEST MELBOURNE,3003,Step free,Main Entrance is at grade and has no steps or ramp,3,0,0,0,-37.806312,144.938749,"1-25 Dynon Road
(-37.806312, 144.938749)"
Newquay Central,425-427 Docklands Drive,DOCKLANDS,3008,Alternative access,Main entrance has steps; Alternative entrance is step free or has ramp,2,2,2006,0,-37.815177,144.939026,"425-427 Docklands Drive
(-37.815177, 144.939026)"
Yarra's Edge,58-70 Lorimer Street,DOCKLANDS,3008,Steps,All entrances have steps,1,4,2003,0,-37.82488,144.946355,"58-70 Lorimer Street
(-37.82488, 144.946355)"
 ,266 Elgin Street,CARLTON,3053,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796677,144.965286,"266 Elgin Street
(-37.796677, 144.965286)"
 ,56A Munster Terrace,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.802527,144.942657,"56A Munster Terrace
(-37.802527, 144.942657)"
 ,60 Hayward Lane,MELBOURNE,3000,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1950,0,-37.809215,144.967038,"60 Hayward Lane
(-37.809215, 144.967038)"
Arden Sidings,269-273 Arden Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.801381,144.940691,"269-273 Arden Street
(-37.801381, 144.940691)"
 ,42 Derby Street,KENSINGTON,3031,Step free,Main Entrance is at grade and has no steps or ramp,3,1,2003,0,-37.796375,144.927307,"42 Derby Street
(-37.796375, 144.927307)"
Victoria University Of Technology,300-316 Flinders Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,18,1991,0,-37.818053,144.964041,"300-316 Flinders Street
(-37.818053, 144.964041)"
The Block Arcade,280-292 Collins Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,4,1890,1995,-37.815672,144.964557,"280-292 Collins Street
(-37.815672, 144.964557)"
Collins Two3Four,234-250 Collins Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,9,1991,0,-37.815419,144.965657,"234-250 Collins Street
(-37.815419, 144.965657)"
 ,363-367 Little Collins Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,10,1982,2004,-37.815817,144.962811,"363-367 Little Collins Street
(-37.815817, 144.962811)"
Celsius House,150 Lonsdale Street,MELBOURNE,3000,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,7,1975,2005,-37.810126,144.967574,"150 Lonsdale Street
(-37.810126, 144.967574)"
IOOF Centre,303-317 Collins Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,29,1973,1987,-37.816627,144.963823,"303-317 Collins Street
(-37.816627, 144.963823)"
Leicester House,302-308 Flinders Lane,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,5,1886,2001,-37.817199,144.963897,"302-308 Flinders Lane
(-37.817199, 144.963897)"
Docklands Studios Melbourne,476-478 Docklands Drive,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2004,0,-37.814068,144.935731,"476-478 Docklands Drive
(-37.814068, 144.935731)"
Warun Biik Park,63-65 Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796611,144.926298,"63-65 Kensington Road
(-37.796611, 144.926298)"
River Studios,41-59 Sims Street,WEST MELBOURNE,3003,Ramp,Main Entrance has ramp,3,1,1950,0,-37.801635,144.911587,"41-59 Sims Street
(-37.801635, 144.911587)"
 ,14-20 King Street,MELBOURNE,3000,Ramp,Main Entrance has ramp,3,1,1917,1986,-37.819776,144.957714,"14-20 King Street
(-37.819776, 144.957714)"
The Clarion Gateway Apartments,1-13 William Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,19,1967,1997,-37.819432,144.95951,"1-13 William Street
(-37.819432, 144.95951)"
Riverside Apartments,487-497 Flinders Lane,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,3,1988,1997,-37.819379,144.957712,"487-497 Flinders Lane
(-37.819379, 144.957712)"
 ,502-504 Flinders Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1911,2006,-37.820056,144.957657,"502-504 Flinders Street
(-37.820056, 144.957657)"
ANZ Royal Bank Chambers,287-301 Collins Street,MELBOURNE,3000,Too complex to determine,Configuration of entrance does not fit into any of the other categories,0,9,1940,2012,-37.816422,144.964491,"287-301 Collins Street
(-37.816422, 144.964491)"
Collins Street Baptist Church (Central House),170-174 Collins Street,MELBOURNE,3000,Alternative access,Main entrance has steps; Alternative entrance is step free or has ramp,2,9,1845,1997,-37.814746,144.967714,"170-174 Collins Street
(-37.814746, 144.967714)"
Melbourne Town Hall,100 Swanston Street,MELBOURNE,3000,Ramp,Main Entrance has ramp,3,4,1867,1998,-37.814868,144.966755,"100 Swanston Street
(-37.814868, 144.966755)"
 ,172 Swanston Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,2,1945,0,-37.813722,144.966034,"172 Swanston Street
(-37.813722, 144.966034)"
Cafe L'Incontro,134-142 Swanston Street,MELBOURNE,3000,Steps,All entrances have steps,1,0,0,1994,-37.814305,144.966292,"134-142 Swanston Street
(-37.814305, 144.966292)"
 ,231-233 Bourke Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,2,1957,0,-37.813436,144.966841,"231-233 Bourke Street
(-37.813436, 144.966841)"
Emporium Melbourne,269-321 Lonsdale Street,MELBOURNE,3000,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,2012,-37.812451,144.963838,"269-321 Lonsdale Street
(-37.812451, 144.963838)"
 ,271 Swanston Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,1,0,0,-37.811901,144.96455,"271 Swanston Street
(-37.811901, 144.96455)"
David Jones,294-312 Bourke Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,5,1910,2009,-37.813309,144.964398,"294-312 Bourke Street
(-37.813309, 144.964398)"
 ,268 Russell Street,MELBOURNE,3000,Steps,All entrances have steps,1,1,1900,0,-37.810153,144.967175,"268 Russell Street
(-37.810153, 144.967175)"
Alexandra Building,288-294 Russell Street,MELBOURNE,3000,Steps,All entrances have steps,1,1,1890,2000,-37.809664,144.966971,"288-294 Russell Street
(-37.809664, 144.966971)"
 ,4-8 Bennetts Lane,MELBOURNE,3000,Small lip or steep ramp,Entrance(s) have limited access via a small lip or a steep ramp,2,1,1985,1985,-37.809167,144.967974,"4-8 Bennetts Lane
(-37.809167, 144.967974)"
 ,107 Laurens Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.802201,144.939017,"107 Laurens Street
(-37.802201, 144.939017)"
 ,20-24 Rathdowne Place,CARLTON,3053,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,2006,0,-37.799476,144.970657,"20-24 Rathdowne Place
(-37.799476, 144.970657)"
 ,4-8 Rathdowne Place,CARLTON,3053,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2006,2009,-37.799881,144.970586,"4-8 Rathdowne Place
(-37.799881, 144.970586)"
 ,7 Silver Top Terrace,CARLTON,3053,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2011,0,-37.79971,144.970854,"7 Silver Top Terrace
(-37.79971, 144.970854)"
Electric House,14-40 Market Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,9,1988,1998,-37.818487,144.961133,"14-40 Market Street
(-37.818487, 144.961133)"
Bennelong House (Former Felton Building),7-11 Queen Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1886,1994,-37.818618,144.961946,"7-11 Queen Street
(-37.818618, 144.961946)"
Oaks On Market,54-60 Market Street,MELBOURNE,3000,Alternative access,Main entrance has steps; Alternative entrance is step free or has ramp,2,24,1967,2004,-37.81778,144.960828,"54-60 Market Street
(-37.81778, 144.960828)"
The Madison,37-41 Queen Street,MELBOURNE,3000,Steps,All entrances have steps,1,11,1936,1993,-37.817896,144.961686,"37-41 Queen Street
(-37.817896, 144.961686)"
Aldersgate House,405-407 Collins Street,MELBOURNE,3000,Steps,All entrances have steps,1,6,1923,2000,-37.817456,144.961113,"405-407 Collins Street
(-37.817456, 144.961113)"
AFT House,415-417 Collins Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1945,1984,-37.817468,144.960868,"415-417 Collins Street
(-37.817468, 144.960868)"
 ,167-169 City Road,SOUTHBANK,3006,Small lip or steep ramp,Entrance(s) have limited access via a small lip or a steep ramp,2,1,1954,0,-37.824399,144.962502,"167-169 City Road
(-37.824399, 144.962502)"
Sero,175-187 Sturt Street,SOUTHBANK,3006,Too complex to determine,Configuration of entrance does not fit into any of the other categories,0,1,1975,2002,-37.828674,144.966263,"175-187 Sturt Street
(-37.828674, 144.966263)"
Cityview On Southbank,161-173 Sturt Street,SOUTHBANK,3006,Too complex to determine,Configuration of entrance does not fit into any of the other categories,0,10,1959,0,-37.828185,144.966639,"161-173 Sturt Street
(-37.828185, 144.966639)"
 ,141-151 Sturt Street,SOUTHBANK,3006,Too complex to determine,Configuration of entrance does not fit into any of the other categories,0,1,1973,2004,-37.827705,144.966779,"141-151 Sturt Street
(-37.827705, 144.966779)"
The Melburnian,3-17 Grant Street,SOUTHBANK,3006,Steps,All entrances have steps,1,2,2001,0,-37.825702,144.970146,"3-17 Grant Street
(-37.825702, 144.970146)"
Global Television Studios,49-61 Coventry Street,SOUTHBANK,3006,Ramp,Main Entrance has ramp,3,2,1982,1987,-37.830186,144.968464,"49-61 Coventry Street
(-37.830186, 144.968464)"
 ,332 St Kilda Road,SOUTHBANK,3006,Ramp,Main Entrance has ramp,3,6,1982,1999,-37.829842,144.970657,"332 St Kilda Road
(-37.829842, 144.970657)"
The Gateway,312-318 St Kilda Road,SOUTHBANK,3006,Step free,Main Entrance is at grade and has no steps or ramp,3,7,1988,0,-37.829125,144.970707,"312-318 St Kilda Road
(-37.829125, 144.970707)"
